Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y7Bmc6KcuKx1,John Nelson,Second,Odbileg Khayankhyarvaa,2,17,WON,125,38,58,140,100,40,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y7Bmc6KcuKx1,Odbileg Khayankhyarvaa,First,John Nelson,2,18,LOST,140,43,99,22,97,80,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y7Bmc6KcuKx1,John Nelson,First,Odbileg Khayankhyarvaa,3,18,WON,96,100,79,100,43,83,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y7Bmc6KcuKx1,Odbileg Khayankhyarvaa,Second,John Nelson,3,15,LOST,100,45,85,60,97,,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y3yJEGozavCz,Tergel Khurelkhuu,First,Steve Henry,1,23,WON,100,100,92,59,120,4,0,26,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y3yJEGozavCz,Steve Henry,Second,Tergel Khurelkhuu,1,21,LOST,57,83,57,43,57,80,40,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y3yJEGozavCz,Tergel Khurelkhuu,Second,Steve Henry,2,16,WON,60,43,125,180,77,16,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y3yJEGozavCz,Steve Henry,First,Tergel Khurelkhuu,2,18,LOST,45,57,99,83,29,41,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y3yJEGozavCz,Tergel Khurelkhuu,First,Steve Henry,3,20,WON,83,81,121,100,92,18,6,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y3yJEGozavCz,Steve Henry,Second,Tergel Khurelkhuu,3,18,LOST,95,83,40,31,43,46,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/9AkOaMGinyHH,Terry Young,First,Ryan Smith,1,28,WON,28,43,60,100,23,42,130,69,0,6,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/9AkOaMGinyHH,Ryan Smith,Second,Terry Young,1,27,LOST,44,43,96,47,31,41,32,81,38,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/9AkOaMGinyHH,Terry Young,Second,Ryan Smith,2,17,WON,140,78,180,67,0,36,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/9AkOaMGinyHH,Ryan Smith,First,Terry Young,2,18,LOST,60,26,45,97,35,44,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/9AkOaMGinyHH,Terry Young,First,Ryan Smith,3,18,WON,81,55,81,180,44,60,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/9AkOaMGinyHH,Ryan Smith,Second,Terry Young,3,15,LOST,45,26,69,41,70,,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/FgLUcKsEuVZz,Charlie Green,Second,Alan Greene,1,20,WON,38,30,140,100,100,47,46,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/FgLUcKsEuVZz,Alan Greene,First,Charlie Green,1,21,LOST,11,55,60,100,18,5,27,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/FgLUcKsEuVZz,Charlie Green,First,Alan Greene,2,26,WON,60,60,60,60,100,137,18,4,2,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/FgLUcKsEuVZz,Alan Greene,Second,Charlie Green,2,24,LOST,19,57,29,40,80,100,42,58,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/FgLUcKsEuVZz,Charlie Green,Second,Alan Greene,3,18,WON,180,41,100,60,100,20,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/FgLUcKsEuVZz,Alan Greene,First,Charlie Green,3,18,LOST,45,58,66,61,40,59,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/cYpFGdsUojod,Charlie Hardie,Second,Sean Lahiff,1,19,WON,70,125,45,83,98,60,20,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/cYpFGdsUojod,Sean Lahiff,First,Charlie Hardie,1,21,LOST,45,60,45,45,81,57,100,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/cYpFGdsUojod,Charlie Hardie,First,Sean Lahiff,2,25,WON,123,41,47,58,60,72,48,12,40,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/cYpFGdsUojod,Sean Lahiff,Second,Charlie Hardie,2,24,LOST,60,30,81,60,85,44,89,20,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/cYpFGdsUojod,Charlie Hardie,Second,Sean Lahiff,3,21,LOST,39,69,71,57,45,125,47,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/cYpFGdsUojod,Sean Lahiff,First,Charlie Hardie,3,22,WON,60,45,82,135,59,50,38,32,,,,
