Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steve Henry,First,Steven Ferguson,1,24,LOST,85,97,60,139,60,40,10,0,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steven Ferguson,Second,Steve Henry,1,23,WON,100,134,84,60,83,0,25,15,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steve Henry,Second,Steven Ferguson,2,18,LOST,59,46,54,34,59,29,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steven Ferguson,First,Steve Henry,2,19,WON,29,39,60,59,100,174,40,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steve Henry,First,Steven Ferguson,3,21,WON,45,81,140,85,60,29,61,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steven Ferguson,Second,Steve Henry,3,18,LOST,57,92,140,60,62,60,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steve Henry,Second,Steven Ferguson,4,15,LOST,42,60,40,43,30,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steven Ferguson,First,Steve Henry,4,17,WON,121,58,100,95,95,32,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steve Henry,First,Steven Ferguson,5,27,LOST,50,43,100,65,60,60,91,12,6,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/JEcGHUWdA7GR,Steven Ferguson,Second,Steve Henry,5,26,WON,78,85,100,23,180,19,0,14,2,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Aidan Oliver,Second,Oscar King,1,18,LOST,100,45,28,40,41,80,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Oscar King,First,Aidan Oliver,1,21,WON,45,100,45,85,40,134,52,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Aidan Oliver,First,Oscar King,2,18,WON,100,140,55,100,66,40,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Oscar King,Second,Aidan Oliver,2,15,LOST,100,83,60,53,100,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Aidan Oliver,Second,Oscar King,3,15,LOST,60,83,41,81,30,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Oscar King,First,Aidan Oliver,3,17,WON,41,59,100,125,85,91,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Aidan Oliver,First,Oscar King,4,27,WON,57,100,66,41,51,60,42,41,43,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Oscar King,Second,Aidan Oliver,4,24,LOST,30,45,45,60,60,100,81,40,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Aidan Oliver,Second,Oscar King,5,22,WON,60,60,43,83,43,81,91,40,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Oscar King,First,Aidan Oliver,5,24,LOST,45,80,95,140,60,41,35,0,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Aidan Oliver,First,Oscar King,6,17,WON,78,60,92,41,180,50,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/NQvlNlUGUKUp,Oscar King,Second,Aidan Oliver,6,15,LOST,45,100,100,41,45,,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Nick Ellis,Second,Bobby Harwood,1,15,WON,100,125,58,140,78,,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Bobby Harwood,First,Nick Ellis,1,15,LOST,95,60,28,81,100,,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Nick Ellis,First,Bobby Harwood,2,23,WON,57,96,60,58,100,74,16,40,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Bobby Harwood,Second,Nick Ellis,2,21,LOST,30,43,95,123,30,30,40,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Nick Ellis,Second,Bobby Harwood,3,17,WON,180,95,56,85,65,20,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Bobby Harwood,First,Nick Ellis,3,18,LOST,26,60,40,36,121,92,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Nick Ellis,First,Bobby Harwood,4,14,WON,140,180,100,65,16,,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/8YeYSsigJw0E,Bobby Harwood,Second,Nick Ellis,4,12,LOST,100,68,76,26,,,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,John Power,First,Charlie Hardie,1,22,WON,80,26,180,125,54,28,0,8,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,Charlie Hardie,Second,John Power,1,21,LOST,45,58,100,2,41,41,100,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,John Power,Second,Charlie Hardie,2,18,LOST,60,60,83,100,100,58,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,Charlie Hardie,First,John Power,2,21,WON,80,81,56,41,99,112,32,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,John Power,First,Charlie Hardie,3,20,WON,140,41,100,140,48,0,32,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,Charlie Hardie,Second,John Power,3,18,LOST,60,27,60,40,60,40,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,John Power,Second,Charlie Hardie,4,19,WON,95,100,41,83,92,54,36,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,Charlie Hardie,First,John Power,4,21,LOST,41,39,60,100,60,41,40,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,John Power,First,Charlie Hardie,5,22,WON,95,180,83,85,51,3,0,4,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/0cYxbZiDAWXD,Charlie Hardie,Second,John Power,5,21,LOST,39,78,39,84,41,140,60,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Jono Harding,First,Kian Dominguez,1,24,LOST,80,45,60,60,11,60,30,41,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Kian Dominguez,Second,Jono Harding,1,22,WON,100,95,97,58,58,28,45,20,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Jono Harding,Second,Kian Dominguez,2,27,LOST,100,140,21,41,97,32,37,17,7,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Kian Dominguez,First,Jono Harding,2,30,WON,58,60,57,93,40,57,45,51,30,10,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Jono Harding,First,Kian Dominguez,3,24,LOST,41,45,60,66,60,80,59,24,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Kian Dominguez,Second,Jono Harding,3,23,WON,85,11,82,60,122,81,40,20,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Jono Harding,Second,Kian Dominguez,4,18,LOST,45,55,41,60,45,83,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/f7Qct5rj6q4r,Kian Dominguez,First,Jono Harding,4,20,WON,99,77,46,95,60,36,88,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Green,First,Charlie Sutherland,1,19,WON,45,42,100,134,60,80,40,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Sutherland,Second,Charlie Green,1,18,LOST,60,11,58,59,100,81,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Green,Second,Charlie Sutherland,2,24,LOST,140,45,41,45,41,40,99,40,,,,
